add-yield-none,1,1,2, 91254, 45627,0
add-none,1,1,2, 76681, 38340,0
add-yield-none,2,1,4, 90237, 22559,0
add-none,2,1,4, 91784, 22946,0
add-yield-none,3,1,6, 97733, 16288,0
add-none,3,1,6, 78044, 13007,-1
add-yield-none,4,1,8, 136985, 17123,1
add-none,4,1,8, 139795, 17474,0
add-yield-none,5,1,10, 147057, 14705,0
add-none,5,1,10, 129608, 12960,0
add-yield-none,6,1,12, 170193, 14182,0
add-none,6,1,12, 136539, 11378,0
add-yield-none,7,1,14, 216460, 15461,0
add-none,7,1,14, 201773, 14412,0
add-yield-none,8,1,16, 237716, 14857,0
add-none,8,1,16, 1406009, 87875,0
add-yield-none,10,1,20, 241078, 12053,0
add-none,10,1,20, 285812, 14290,0
add-yield-none,12,1,24, 326318, 13596,0
add-none,12,1,24, 313196, 13049,0
add-yield-none,1,2,4, 73413, 18353,0
add-none,1,2,4, 54900, 13725,0
add-yield-none,2,2,8, 84736, 10592,0
add-none,2,2,8, 84312, 10539,0
add-yield-none,3,2,12, 96946, 8078,0
add-none,3,2,12, 111806, 9317,0
add-yield-none,4,2,16, 115637, 7227,0
add-none,4,2,16, 109808, 6863,0
add-yield-none,5,2,20, 122510, 6125,0
add-none,5,2,20, 123663, 6183,0
add-yield-none,6,2,24, 162945, 6789,0
add-none,6,2,24, 145364, 6056,0
add-yield-none,7,2,28, 154749, 5526,0
add-none,7,2,28, 149795, 5349,0
add-yield-none,8,2,32, 187241, 5851,0
add-none,8,2,32, 203190, 6349,0
add-yield-none,10,2,40, 255775, 6394,0
add-none,10,2,40, 274628, 6865,0
add-yield-none,12,2,48, 290084, 6043,0
add-none,12,2,48, 350817, 7308,0
add-yield-none,1,4,8, 58905, 7363,0
add-none,1,4,8, 67265, 8408,0
add-yield-none,2,4,16, 92904, 5806,2
add-none,2,4,16, 75682, 4730,0
add-yield-none,3,4,24, 108999, 4541,0
add-none,3,4,24, 95120, 3963,0
add-yield-none,4,4,32, 117682, 3677,4
add-none,4,4,32, 116691, 3646,0
add-yield-none,5,4,40, 147718, 3692,3
add-none,5,4,40, 152298, 3807,0
add-yield-none,6,4,48, 153557, 3199,0
add-none,6,4,48, 165535, 3448,0
add-yield-none,7,4,56, 192171, 3431,0
add-none,7,4,56, 164795, 2942,0
add-yield-none,8,4,64, 197326, 3083,2
add-none,8,4,64, 231940, 3624,3
add-yield-none,10,4,80, 227925, 2849,0
add-none,10,4,80, 281694, 3521,0
add-yield-none,12,4,96, 298445, 3108,0
add-none,12,4,96, 349914, 3644,0
add-yield-none,1,8,16, 62015, 3875,0
add-none,1,8,16, 78802, 4925,0
add-yield-none,2,8,32, 82111, 2565,0
add-none,2,8,32, 90058, 2814,0
add-yield-none,3,8,48, 100361, 2090,0
add-none,3,8,48, 72354, 1507,0
add-yield-none,4,8,64, 121397, 1896,0
add-none,4,8,64, 106833, 1669,0
add-yield-none,5,8,80, 133255, 1665,0
add-none,5,8,80, 143333, 1791,0
add-yield-none,6,8,96, 159770, 1664,0
add-none,6,8,96, 167037, 1739,0
add-yield-none,7,8,112, 218216, 1948,7
add-none,7,8,112, 189542, 1692,0
add-yield-none,8,8,128, 210706, 1646,0
add-none,8,8,128, 1047501, 8183,0
add-yield-none,10,8,160, 218861, 1367,7
add-none,10,8,160, 255538, 1597,0
add-yield-none,12,8,192, 284268, 1480,3
add-none,12,8,192, 256964, 1338,0
add-yield-none,1,16,32, 78763, 2461,0
add-none,1,16,32, 68698, 2146,0
add-yield-none,2,16,64, 67775, 1058,13
add-none,2,16,64, 87668, 1369,0
add-yield-none,3,16,96, 108796, 1133,0
add-none,3,16,96, 86757, 903,1
add-yield-none,4,16,128, 121589, 949,4
add-none,4,16,128, 97087, 758,0
add-yield-none,5,16,160, 168445, 1052,12
add-none,5,16,160, 128922, 805,-1
add-yield-none,6,16,192, 163376, 850,8
add-none,6,16,192, 142031, 739,0
add-yield-none,7,16,224, 211939, 946,1
add-none,7,16,224, 189084, 844,0
add-yield-none,8,16,256, 218280, 852,-11
add-none,8,16,256, 224225, 875,-16
add-yield-none,10,16,320, 220618, 689,11
add-none,10,16,320, 248186, 775,0
add-yield-none,12,16,384, 398006, 1036,14
add-none,12,16,384, 331251, 862,0
add-yield-none,1,32,64, 95643, 1494,0
add-none,1,32,64, 60292, 942,0
add-yield-none,2,32,128, 82142, 641,-30
add-none,2,32,128, 77100, 602,6
add-yield-none,3,32,192, 101073, 526,20
add-none,3,32,192, 101538, 528,-7
add-yield-none,4,32,256, 144230, 563,8
add-none,4,32,256, 115757, 452,0
add-yield-none,5,32,320, 174221, 544,8
add-none,5,32,320, 137487, 429,3
add-yield-none,6,32,384, 183492, 477,75
add-none,6,32,384, 227051, 591,0
add-yield-none,7,32,448, 230149, 513,8
add-none,7,32,448, 181892, 406,-1
add-yield-none,8,32,512, 244536, 477,61
add-none,8,32,512, 218113, 426,0
add-yield-none,10,32,640, 305342, 477,62
add-none,10,32,640, 265189, 414,0
add-yield-none,12,32,768, 367779, 478,48
add-none,12,32,768, 1005460, 1309,0
add-yield-none,1,64,128, 88157, 688,0
add-none,1,64,128, 79367, 620,0
add-yield-none,2,64,256, 116344, 454,41
add-none,2,64,256, 76534, 298,0
add-yield-none,3,64,384, 153870, 400,-8
add-none,3,64,384, 94719, 246,-13
add-yield-none,4,64,512, 162444, 317,40
add-none,4,64,512, 121238, 236,14
add-yield-none,5,64,640, 182146, 284,8
add-none,5,64,640, 171243, 267,27
add-yield-none,6,64,768, 216102, 281,57
add-none,6,64,768, 158126, 205,0
